travelCode,userCode,name,place,days,price,total,date,price_per_day,year,month,stay_category,hotel_popularity,place_popularity,user_avg_spend
165,2,Hotel BD,Natal (RN),3,242.88,728.64,2021-01-28,242.88,2021,1,medium,4829,4829,558.0033333333333
177,2,Hotel Z,Aracaju (SE),2,208.04,416.08,2021-04-22,208.04,2021,4,short,4205,4205,558.0033333333333
180,2,Hotel BW,Campo Grande (MS),3,60.39,181.17,2021-05-13,60.39,2021,5,medium,4333,4333,558.0033333333333
187,2,Hotel Z,Aracaju (SE),3,208.04,624.12,2021-07-01,208.04,2021,7,medium,4205,4205,558.0033333333333
188,2,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2021-07-08,139.1,2021,7,short,4828,4828,558.0033333333333
189,2,Hotel K,Salvador (BH),4,263.41,1053.64,2021-07-15,263.41,2021,7,medium,5094,5094,558.0033333333333
192,2,Hotel A,Florianopolis (SC),4,313.02,1252.08,2021-08-05,313.02,2021,8,medium,3330,3330,558.0033333333333
197,2,Hotel A,Florianopolis (SC),3,313.02,939.06,2021-09-09,313.02,2021,9,medium,3330,3330,558.0033333333333
201,2,Hotel A,Florianopolis (SC),2,313.02,626.04,2021-10-07,313.02,2021,10,short,3330,3330,558.0033333333333
205,2,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2021-11-04,165.99,2021,11,short,5029,5029,558.0033333333333
211,2,Hotel Z,Aracaju (SE),3,208.04,624.12,2021-12-16,208.04,2021,12,medium,4205,4205,558.0033333333333
213,2,Hotel K,Salvador (BH),3,263.41,790.23,2021-12-30,263.41,2021,12,medium,5094,5094,558.0033333333333
214,2,Hotel AU,Recife (PE),1,312.83,312.83,2022-01-06,312.83,2022,1,short,4467,4467,558.0033333333333
219,2,Hotel A,Florianopolis (SC),2,313.02,626.04,2022-02-10,313.02,2022,2,short,3330,3330,558.0033333333333
221,2,Hotel K,Salvador (BH),1,263.41,263.41,2022-02-24,263.41,2022,2,short,5094,5094,558.0033333333333
224,2,Hotel BP,Brasilia (DF),3,247.62,742.86,2022-03-17,247.62,2022,3,medium,4437,4437,558.0033333333333
225,2,Hotel BD,Natal (RN),4,242.88,971.52,2022-03-24,242.88,2022,3,medium,4829,4829,558.0033333333333
233,3,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-11-14,313.02,2019,11,short,3330,3330,499.56850000000003
235,3,Hotel A,Florianopolis (SC),3,313.02,939.06,2019-11-28,313.02,2019,11,medium,3330,3330,499.56850000000003
238,3,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-12-19,313.02,2019,12,short,3330,3330,499.56850000000003
239,3,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-12-26,313.02,2019,12,short,3330,3330,499.56850000000003
240,3,Hotel BP,Brasilia (DF),4,247.62,990.48,2020-01-02,247.62,2020,1,medium,4437,4437,499.56850000000003
241,3,Hotel A,Florianopolis (SC),1,313.02,313.02,2020-01-09,313.02,2020,1,short,3330,3330,499.56850000000003
243,3,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-01-23,165.99,2020,1,short,5029,5029,499.56850000000003
244,3,Hotel AU,Recife (PE),4,312.83,1251.32,2020-01-30,312.83,2020,1,medium,4467,4467,499.56850000000003
246,3,Hotel AU,Recife (PE),2,312.83,625.66,2020-02-13,312.83,2020,2,short,4467,4467,499.56850000000003
248,3,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-02-27,60.39,2020,2,short,4333,4333,499.56850000000003
255,3,Hotel A,Florianopolis (SC),1,313.02,313.02,2020-04-16,313.02,2020,4,short,3330,3330,499.56850000000003
259,3,Hotel BD,Natal (RN),2,242.88,485.76,2020-05-14,242.88,2020,5,short,4829,4829,499.56850000000003
263,3,Hotel BW,Campo Grande (MS),3,60.39,181.17,2020-06-11,60.39,2020,6,medium,4333,4333,499.56850000000003
269,3,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2020-07-23,165.99,2020,7,short,5029,5029,499.56850000000003
275,3,Hotel BD,Natal (RN),2,242.88,485.76,2020-09-03,242.88,2020,9,short,4829,4829,499.56850000000003
279,3,Hotel BD,Natal (RN),1,242.88,242.88,2020-10-01,242.88,2020,10,short,4829,4829,499.56850000000003
283,3,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2020-10-29,139.1,2020,10,short,4828,4828,499.56850000000003
287,3,Hotel AU,Recife (PE),1,312.83,312.83,2020-11-26,312.83,2020,11,short,4467,4467,499.56850000000003
290,3,Hotel BW,Campo Grande (MS),1,60.39,60.39,2020-12-17,60.39,2020,12,short,4333,4333,499.56850000000003
291,3,Hotel K,Salvador (BH),1,263.41,263.41,2020-12-24,263.41,2020,12,short,5094,5094,499.56850000000003
295,3,Hotel BD,Natal (RN),4,242.88,971.52,2021-01-21,242.88,2021,1,medium,4829,4829,499.56850000000003
296,3,Hotel AU,Recife (PE),3,312.83,938.49,2021-01-28,312.83,2021,1,medium,4467,4467,499.56850000000003
299,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2021-02-18,139.1,2021,2,medium,4828,4828,499.56850000000003
300,3,Hotel K,Salvador (BH),3,263.41,790.23,2021-02-25,263.41,2021,2,medium,5094,5094,499.56850000000003
303,3,Hotel BW,Campo Grande (MS),1,60.39,60.39,2021-03-18,60.39,2021,3,short,4333,4333,499.56850000000003
305,3,Hotel BD,Natal (RN),4,242.88,971.52,2021-04-01,242.88,2021,4,medium,4829,4829,499.56850000000003
306,3,Hotel A,Florianopolis (SC),3,313.02,939.06,2021-04-08,313.02,2021,4,medium,3330,3330,499.56850000000003
307,3,Hotel BD,Natal (RN),2,242.88,485.76,2021-04-15,242.88,2021,4,short,4829,4829,499.56850000000003
311,3,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2021-05-13,139.1,2021,5,short,4828,4828,499.56850000000003
315,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2021-06-10,165.99,2021,6,medium,5029,5029,499.56850000000003
322,3,Hotel BD,Natal (RN),1,242.88,242.88,2021-07-29,242.88,2021,7,short,4829,4829,499.56850000000003
325,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2021-08-19,165.99,2021,8,medium,5029,5029,499.56850000000003
337,3,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2021-11-11,165.99,2021,11,medium,5029,5029,499.56850000000003
338,3,Hotel Z,Aracaju (SE),3,208.04,624.12,2021-11-18,208.04,2021,11,medium,4205,4205,499.56850000000003
347,3,Hotel BP,Brasilia (DF),1,247.62,247.62,2022-01-20,247.62,2022,1,short,4437,4437,499.56850000000003
350,3,Hotel BD,Natal (RN),1,242.88,242.88,2022-02-10,242.88,2022,2,short,4829,4829,499.56850000000003
363,3,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2022-05-12,139.1,2022,5,short,4828,4828,499.56850000000003
369,3,Hotel AU,Recife (PE),3,312.83,938.49,2022-06-23,312.83,2022,6,medium,4467,4467,499.56850000000003
373,3,Hotel BW,Campo Grande (MS),4,60.39,241.56,2022-07-21,60.39,2022,7,medium,4333,4333,499.56850000000003
377,3,Hotel A,Florianopolis (SC),4,313.02,1252.08,2022-08-18,313.02,2022,8,medium,3330,3330,499.56850000000003
382,3,Hotel K,Salvador (BH),2,263.41,526.82,2022-09-22,263.41,2022,9,short,5094,5094,499.56850000000003
383,3,Hotel A,Florianopolis (SC),2,313.02,626.04,2022-09-29,313.02,2022,9,short,3330,3330,499.56850000000003
385,3,Hotel BW,Campo Grande (MS),2,60.39,120.78,2022-10-13,60.39,2022,10,short,4333,4333,499.56850000000003
387,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2022-10-27,139.1,2022,10,medium,4828,4828,499.56850000000003
388,3,Hotel BD,Natal (RN),4,242.88,971.52,2022-11-03,242.88,2022,11,medium,4829,4829,499.56850000000003
394,3,Hotel K,Salvador (BH),4,263.41,1053.64,2022-12-15,263.41,2022,12,medium,5094,5094,499.56850000000003
397,3,Hotel AU,Recife (PE),4,312.83,1251.32,2023-01-05,312.83,2023,1,medium,4467,4467,499.56850000000003
398,3,Hotel BW,Campo Grande (MS),4,60.39,241.56,2023-01-12,60.39,2023,1,medium,4333,4333,499.56850000000003
403,3,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2023-02-16,139.1,2023,2,medium,4828,4828,499.56850000000003
404,3,Hotel Z,Aracaju (SE),1,208.04,208.04,2023-02-23,208.04,2023,2,short,4205,4205,499.56850000000003
406,3,Hotel BD,Natal (RN),2,242.88,485.76,2023-03-09,242.88,2023,3,short,4829,4829,499.56850000000003
408,3,Hotel K,Salvador (BH),1,263.41,263.41,2023-03-23,263.41,2023,3,short,5094,5094,499.56850000000003
409,3,Hotel K,Salvador (BH),3,263.41,790.23,2023-03-30,263.41,2023,3,medium,5094,5094,499.56850000000003
410,3,Hotel BW,Campo Grande (MS),3,60.39,181.17,2023-04-06,60.39,2023,4,medium,4333,4333,499.56850000000003
412,3,Hotel A,Florianopolis (SC),2,313.02,626.04,2023-04-20,313.02,2023,4,short,3330,3330,499.56850000000003
415,3,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2023-05-11,165.99,2023,5,short,5029,5029,499.56850000000003
417,3,Hotel BD,Natal (RN),2,242.88,485.76,2023-05-25,242.88,2023,5,short,4829,4829,499.56850000000003
418,3,Hotel AU,Recife (PE),1,312.83,312.83,2023-06-01,312.83,2023,6,short,4467,4467,499.56850000000003
419,3,Hotel BW,Campo Grande (MS),2,60.39,120.78,2023-06-08,60.39,2023,6,short,4333,4333,499.56850000000003
424,3,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2023-07-13,165.99,2023,7,short,5029,5029,499.56850000000003
426,4,Hotel AU,Recife (PE),2,312.83,625.66,2019-10-03,312.83,2019,10,short,4467,4467,565.3160714285715
431,4,Hotel AU,Recife (PE),4,312.83,1251.32,2019-11-07,312.83,2019,11,medium,4467,4467,565.3160714285715
432,4,Hotel AU,Recife (PE),3,312.83,938.49,2019-11-14,312.83,2019,11,medium,4467,4467,565.3160714285715
440,4,Hotel K,Salvador (BH),3,263.41,790.23,2020-01-09,263.41,2020,1,medium,5094,5094,565.3160714285715
442,4,Hotel Z,Aracaju (SE),2,208.04,416.08,2020-01-23,208.04,2020,1,short,4205,4205,565.3160714285715
445,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-02-13,165.99,2020,2,short,5029,5029,565.3160714285715
447,4,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2020-02-27,139.1,2020,2,short,4828,4828,565.3160714285715
450,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-03-19,60.39,2020,3,short,4333,4333,565.3160714285715
452,4,Hotel A,Florianopolis (SC),1,313.02,313.02,2020-04-02,313.02,2020,4,short,3330,3330,565.3160714285715
456,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2020-04-30,165.99,2020,4,medium,5029,5029,565.3160714285715
457,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-05-07,60.39,2020,5,short,4333,4333,565.3160714285715
468,4,Hotel Z,Aracaju (SE),1,208.04,208.04,2020-07-23,208.04,2020,7,short,4205,4205,565.3160714285715
473,4,Hotel AF,Sao Paulo (SP),4,139.1,556.4,2020-08-27,139.1,2020,8,medium,4828,4828,565.3160714285715
481,4,Hotel A,Florianopolis (SC),4,313.02,1252.08,2020-10-22,313.02,2020,10,medium,3330,3330,565.3160714285715
486,4,Hotel Z,Aracaju (SE),4,208.04,832.16,2020-11-26,208.04,2020,11,medium,4205,4205,565.3160714285715
490,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2020-12-24,165.99,2020,12,short,5029,5029,565.3160714285715
491,4,Hotel A,Florianopolis (SC),4,313.02,1252.08,2020-12-31,313.02,2020,12,medium,3330,3330,565.3160714285715
494,4,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2021-01-21,139.1,2021,1,short,4828,4828,565.3160714285715
498,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2021-02-18,165.99,2021,2,medium,5029,5029,565.3160714285715
500,4,Hotel K,Salvador (BH),2,263.41,526.82,2021-03-04,263.41,2021,3,short,5094,5094,565.3160714285715
501,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2021-03-11,165.99,2021,3,short,5029,5029,565.3160714285715
503,4,Hotel A,Florianopolis (SC),2,313.02,626.04,2021-03-25,313.02,2021,3,short,3330,3330,565.3160714285715
505,4,Hotel A,Florianopolis (SC),2,313.02,626.04,2021-04-08,313.02,2021,4,short,3330,3330,565.3160714285715
514,4,Hotel AU,Recife (PE),3,312.83,938.49,2021-06-10,312.83,2021,6,medium,4467,4467,565.3160714285715
517,4,Hotel BD,Natal (RN),4,242.88,971.52,2021-07-01,242.88,2021,7,medium,4829,4829,565.3160714285715
529,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2021-09-23,139.1,2021,9,medium,4828,4828,565.3160714285715
532,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2021-10-14,165.99,2021,10,medium,5029,5029,565.3160714285715
537,4,Hotel AU,Recife (PE),3,312.83,938.49,2021-11-18,312.83,2021,11,medium,4467,4467,565.3160714285715
541,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2021-12-16,165.99,2021,12,medium,5029,5029,565.3160714285715
543,4,Hotel BW,Campo Grande (MS),3,60.39,181.17,2021-12-30,60.39,2021,12,medium,4333,4333,565.3160714285715
545,4,Hotel BW,Campo Grande (MS),1,60.39,60.39,2022-01-13,60.39,2022,1,short,4333,4333,565.3160714285715
548,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,2022-02-03,60.39,2022,2,short,4333,4333,565.3160714285715
555,4,Hotel A,Florianopolis (SC),1,313.02,313.02,2022-03-24,313.02,2022,3,short,3330,3330,565.3160714285715
556,4,Hotel K,Salvador (BH),3,263.41,790.23,2022-03-31,263.41,2022,3,medium,5094,5094,565.3160714285715
557,4,Hotel K,Salvador (BH),1,263.41,263.41,2022-04-07,263.41,2022,4,short,5094,5094,565.3160714285715
559,4,Hotel K,Salvador (BH),2,263.41,526.82,2022-04-21,263.41,2022,4,short,5094,5094,565.3160714285715
562,4,Hotel BD,Natal (RN),2,242.88,485.76,2022-05-12,242.88,2022,5,short,4829,4829,565.3160714285715
564,4,Hotel CB,Rio de Janeiro (RJ),1,165.99,165.99,2022-05-26,165.99,2022,5,short,5029,5029,565.3160714285715
565,4,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2022-06-02,165.99,2022,6,short,5029,5029,565.3160714285715
574,4,Hotel BP,Brasilia (DF),4,247.62,990.48,2022-08-04,247.62,2022,8,medium,4437,4437,565.3160714285715
578,4,Hotel Z,Aracaju (SE),3,208.04,624.12,2022-09-01,208.04,2022,9,medium,4205,4205,565.3160714285715
581,4,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2022-09-22,165.99,2022,9,medium,5029,5029,565.3160714285715
582,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2022-09-29,139.1,2022,9,medium,4828,4828,565.3160714285715
586,4,Hotel K,Salvador (BH),2,263.41,526.82,2022-10-27,263.41,2022,10,short,5094,5094,565.3160714285715
587,4,Hotel K,Salvador (BH),1,263.41,263.41,2022-11-03,263.41,2022,11,short,5094,5094,565.3160714285715
588,4,Hotel BD,Natal (RN),2,242.88,485.76,2022-11-10,242.88,2022,11,short,4829,4829,565.3160714285715
590,4,Hotel AU,Recife (PE),2,312.83,625.66,2022-11-24,312.83,2022,11,short,4467,4467,565.3160714285715
591,4,Hotel AU,Recife (PE),4,312.83,1251.32,2022-12-01,312.83,2022,12,medium,4467,4467,565.3160714285715
596,4,Hotel BP,Brasilia (DF),1,247.62,247.62,2023-01-05,247.62,2023,1,short,4437,4437,565.3160714285715
598,4,Hotel BD,Natal (RN),4,242.88,971.52,2023-01-19,242.88,2023,1,medium,4829,4829,565.3160714285715
604,4,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2023-03-02,139.1,2023,3,medium,4828,4828,565.3160714285715
605,4,Hotel A,Florianopolis (SC),4,313.02,1252.08,2023-03-09,313.02,2023,3,medium,3330,3330,565.3160714285715
609,4,Hotel BW,Campo Grande (MS),2,60.39,120.78,2023-04-06,60.39,2023,4,short,4333,4333,565.3160714285715
619,4,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2023-06-15,165.99,2023,6,medium,5029,5029,565.3160714285715
621,4,Hotel BP,Brasilia (DF),4,247.62,990.48,2023-06-29,247.62,2023,6,medium,4437,4437,565.3160714285715
623,4,Hotel BD,Natal (RN),4,242.88,971.52,2023-07-13,242.88,2023,7,medium,4829,4829,565.3160714285715
624,5,Hotel K,Salvador (BH),2,263.41,526.82,2019-09-26,263.41,2019,9,short,5094,5094,453.5423076923077
638,5,Hotel K,Salvador (BH),1,263.41,263.41,2020-01-02,263.41,2020,1,short,5094,5094,453.5423076923077
643,5,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2020-02-06,139.1,2020,2,medium,4828,4828,453.5423076923077
644,5,Hotel K,Salvador (BH),1,263.41,263.41,2020-02-13,263.41,2020,2,short,5094,5094,453.5423076923077
646,5,Hotel K,Salvador (BH),3,263.41,790.23,2020-02-27,263.41,2020,2,medium,5094,5094,453.5423076923077
648,5,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2020-03-12,165.99,2020,3,medium,5029,5029,453.5423076923077
658,5,Hotel BD,Natal (RN),1,242.88,242.88,2020-05-21,242.88,2020,5,short,4829,4829,453.5423076923077
668,5,Hotel BW,Campo Grande (MS),1,60.39,60.39,2020-07-30,60.39,2020,7,short,4333,4333,453.5423076923077
670,5,Hotel K,Salvador (BH),3,263.41,790.23,2020-08-13,263.41,2020,8,medium,5094,5094,453.5423076923077
676,5,Hotel A,Florianopolis (SC),4,313.02,1252.08,2020-09-24,313.02,2020,9,medium,3330,3330,453.5423076923077
680,5,Hotel AF,Sao Paulo (SP),2,139.1,278.2,2020-10-22,139.1,2020,10,short,4828,4828,453.5423076923077
683,5,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2020-11-12,139.1,2020,11,short,4828,4828,453.5423076923077
687,5,Hotel Z,Aracaju (SE),1,208.04,208.04,2020-12-10,208.04,2020,12,short,4205,4205,453.5423076923077
688,6,Hotel BD,Natal (RN),3,242.88,728.64,2019-09-26,242.88,2019,9,medium,4829,4829,541.5626086956522
690,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2019-10-10,139.1,2019,10,medium,4828,4828,541.5626086956522
695,6,Hotel A,Florianopolis (SC),2,313.02,626.04,2019-11-14,313.02,2019,11,short,3330,3330,541.5626086956522
696,6,Hotel CB,Rio de Janeiro (RJ),2,165.99,331.98,2019-11-21,165.99,2019,11,short,5029,5029,541.5626086956522
698,6,Hotel AU,Recife (PE),1,312.83,312.83,2019-12-05,312.83,2019,12,short,4467,4467,541.5626086956522
699,6,Hotel BW,Campo Grande (MS),4,60.39,241.56,2019-12-12,60.39,2019,12,medium,4333,4333,541.5626086956522
701,6,Hotel BP,Brasilia (DF),4,247.62,990.48,2019-12-26,247.62,2019,12,medium,4437,4437,541.5626086956522
707,6,Hotel A,Florianopolis (SC),2,313.02,626.04,2020-02-06,313.02,2020,2,short,3330,3330,541.5626086956522
711,6,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2020-03-05,139.1,2020,3,short,4828,4828,541.5626086956522
712,6,Hotel A,Florianopolis (SC),4,313.02,1252.08,2020-03-12,313.02,2020,3,medium,3330,3330,541.5626086956522
718,6,Hotel K,Salvador (BH),4,263.41,1053.64,2020-04-23,263.41,2020,4,medium,5094,5094,541.5626086956522
719,6,Hotel AF,Sao Paulo (SP),1,139.1,139.1,2020-04-30,139.1,2020,4,short,4828,4828,541.5626086956522
723,6,Hotel BP,Brasilia (DF),2,247.62,495.24,2020-05-28,247.62,2020,5,short,4437,4437,541.5626086956522
739,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2020-09-17,139.1,2020,9,medium,4828,4828,541.5626086956522
745,6,Hotel K,Salvador (BH),1,263.41,263.41,2020-10-29,263.41,2020,10,short,5094,5094,541.5626086956522
746,6,Hotel CB,Rio de Janeiro (RJ),4,165.99,663.96,2020-11-05,165.99,2020,11,medium,5029,5029,541.5626086956522
747,6,Hotel BD,Natal (RN),4,242.88,971.52,2020-11-12,242.88,2020,11,medium,4829,4829,541.5626086956522
749,6,Hotel A,Florianopolis (SC),2,313.02,626.04,2020-11-26,313.02,2020,11,short,3330,3330,541.5626086956522
753,6,Hotel BP,Brasilia (DF),2,247.62,495.24,2020-12-24,247.62,2020,12,short,4437,4437,541.5626086956522
754,6,Hotel BD,Natal (RN),2,242.88,485.76,2020-12-31,242.88,2020,12,short,4829,4829,541.5626086956522
755,6,Hotel K,Salvador (BH),1,263.41,263.41,2021-01-07,263.41,2021,1,short,5094,5094,541.5626086956522
762,6,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2021-02-25,165.99,2021,2,medium,5029,5029,541.5626086956522
767,6,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2021-04-01,139.1,2021,4,medium,4828,4828,541.5626086956522
778,7,Hotel AF,Sao Paulo (SP),3,139.1,417.3,2019-11-21,139.1,2019,11,medium,4828,4828,468.80428571428575
787,7,Hotel BW,Campo Grande (MS),1,60.39,60.39,2020-01-23,60.39,2020,1,short,4333,4333,468.80428571428575
788,7,Hotel BW,Campo Grande (MS),2,60.39,120.78,2020-01-30,60.39,2020,1,short,4333,4333,468.80428571428575
793,7,Hotel CB,Rio de Janeiro (RJ),3,165.99,497.97,2020-03-05,165.99,2020,3,medium,5029,5029,468.80428571428575
